Unnamed: 0,property_type,claim_id,claim_amount,property_value,pml,deductible,claim_status,payment,incident_date,payment_date,incident_type
28,house,9de62cd3,186560.0,424000.0,85000.0,5000.0,settled,181560,2008-06-21,2008-09-19,fire
29,house,7099e770,184570.0,345000.0,69000.0,1000.0,settled,183570,2016-03-23,2016-06-21,water damage
30,house,1be37e60,180250.0,552000.0,110000.0,5000.0,open,20000,2014-03-03,2014-06-01,theft
31,house,a2231633,207030.0,359000.0,72000.0,2000.0,settled,205030,2010-03-30,2010-06-28,fire
32,house,5d496b84,203270.0,300000.0,60000.0,1000.0,settled,202270,2013-03-14,2013-06-12,nat cat
33,house,dd8aa46d,201710.0,574000.0,115000.0,5000.0,settled,196710,2013-02-12,2013-05-13,fire
34,house,c45e7553,192820.0,352000.0,70000.0,5000.0,settled,187820,2021-11-18,2022-02-16,water damage
35,house,d79e0490,187820.0,215000.0,43000.0,500.0,denied,0,2005-10-27,,fire
36,house,dafad15a,175380.0,437000.0,87000.0,500.0,settled,174880,2013-09-20,2013-12-19,water damage
37,house,be5d7273,175990.0,370000.0,74000.0,5000.0,settled,170990,2022-11-07,2023-02-05,water damage
38,house,9b21802f,196190.0,774000.0,155000.0,5000.0,settled,191190,2004-11-13,2005-02-11,fire
39,house,d8260125,185870.0,497000.0,99000.0,1000.0,settled,184870,2016-06-10,2016-09-08,fire
40,house,62f5ae43,176200.0,351000.0,70000.0,500.0,under investigation,0,2007-05-18,,water damage
41,house,11018fa5,188620.0,129000.0,26000.0,1000.0,under investigation,0,2006-03-23,,nat cat
42,house,c1865fe6,210690.0,431000.0,86000.0,1000.0,settled,209690,2021-10-15,2022-01-13,fire
43,house,99642d2a,189710.0,413000.0,83000.0,5000.0,settled,184710,2013-08-31,2013-11-29,other
44,house,b6d8d62f,218470.0,339000.0,68000.0,500.0,settled,217970,2006-04-27,2006-07-26,fire
45,house,851f45c3,189970.0,473000.0,95000.0,1000.0,settled,188970,2010-06-29,2010-09-27,water damage
46,house,e18124aa,211190.0,598000.0,120000.0,2000.0,under investigation,0,2007-06-13,,water damage
47,house,9ea4e063,200620.0,488000.0,98000.0,1000.0,denied,0,2022-06-25,,nat cat
48,house,010ea76e,185360.0,447000.0,89000.0,500.0,denied,0,2004-12-19,,nat cat
49,house,f59effaa,211450.0,548000.0,110000.0,2000.0,settled,209450,2017-05-30,2017-08-28,fire
50,house,d36ebb3e,219810.0,492000.0,98000.0,1000.0,settled,218810,2008-03-11,2008-06-09,nat cat
51,house,6f38ec89,219160.0,501000.0,100000.0,5000.0,denied,0,2005-01-21,,water damage
52,house,e8644ecd,217150.0,555000.0,111000.0,2000.0,settled,215150,2011-10-06,2012-01-04,fire
53,house,17a3c821,196790.0,290000.0,58000.0,1000.0,under investigation,0,2007-04-10,,fire
54,house,888c0d12,197390.0,292000.0,58000.0,2000.0,settled,195390,2019-12-22,2020-03-21,nat cat
55,house,a2033324,213190.0,467000.0,93000.0,500.0,open,20000,2006-07-30,2006-10-28,theft
56,house,0533ec5b,188570.0,192000.0,38000.0,1000.0,settled,187570,2004-01-29,2004-04-28,water damage
57,house,24456f02,238570.0,336000.0,67000.0,500.0,under investigation,0,2020-09-13,,fire
58,house,78f5b56a,207640.0,644000.0,129000.0,500.0,settled,207140,2006-05-15,2006-08-13,other
59,house,c6de1e62,218760.0,537000.0,107000.0,500.0,settled,218260,2018-12-04,2019-03-04,water damage
60,house,19fb26ce,191510.0,473000.0,95000.0,5000.0,under investigation,0,2008-09-23,,fire
61,house,774b4775,184740.0,473000.0,95000.0,500.0,settled,184240,2023-11-26,2024-02-24,fire
62,house,ac4238c6,184860.0,240000.0,48000.0,500.0,settled,184360,2004-10-05,2005-01-03,fire
63,house,2d40c6df,180970.0,305000.0,61000.0,5000.0,denied,0,2021-08-06,,nat cat
64,house,c088eda5,210030.0,523000.0,105000.0,500.0,settled,209530,2009-04-09,2009-07-08,nat cat
65,house,7ea8ea5b,189330.0,492000.0,98000.0,2000.0,under investigation,0,2006-05-28,,nat cat
66,house,e2f041d2,199210.0,383000.0,77000.0,5000.0,settled,194210,2017-03-01,2017-05-30,fire
67,house,e1c75ae9,192150.0,630000.0,126000.0,5000.0,settled,187150,2023-05-03,2023-08-01,fire
68,house,188c563b,169920.0,42000.0,8000.0,5000.0,under investigation,0,2008-05-14,,water damage
69,house,3cb85b06,200000.0,603000.0,121000.0,500.0,settled,199500,2005-01-17,2005-04-17,fire
70,house,a56d4ee1,188530.0,604000.0,121000.0,2000.0,settled,186530,2015-10-13,2016-01-11,fire
71,house,bc6506ea,192160.0,381000.0,76000.0,2000.0,settled,190160,2018-11-29,2019-02-27,fire
72,house,56bae187,189790.0,303000.0,61000.0,2000.0,settled,187790,2005-08-24,2005-11-22,water damage
73,house,9756714f,215670.0,698000.0,140000.0,500.0,settled,215170,2008-06-28,2008-09-26,fire
74,house,94d1ec10,190210.0,661000.0,132000.0,2000.0,settled,188210,2022-08-14,2022-11-12,fire
75,house,09f2e0f3,200460.0,315000.0,63000.0,5000.0,settled,195460,2012-03-24,2012-06-22,fire
76,house,7c7afc28,181050.0,574000.0,115000.0,500.0,under investigation,0,2008-11-09,,other
77,house,474c5691,196280.0,640000.0,128000.0,5000.0,settled,191280,2005-01-07,2005-04-07,nat cat
78,house,ab2234b2,202280.0,397000.0,79000.0,500.0,settled,201780,2008-03-09,2008-06-07,water damage
79,house,456b2a2d,206700.0,540000.0,108000.0,5000.0,settled,201700,2009-01-26,2009-04-26,other
80,house,a4b9376a,221260.0,568000.0,114000.0,1000.0,settled,220260,2011-05-10,2011-08-08,fire
81,house,816a296a,183300.0,355000.0,71000.0,1000.0,settled,182300,2013-10-31,2014-01-29,nat cat
82,house,5df777d7,191740.0,585000.0,117000.0,1000.0,settled,190740,2017-06-17,2017-09-15,water damage
83,house,49ab6a2d,219430.0,231000.0,46000.0,500.0,settled,218930,2016-10-01,2016-12-30,water damage
84,house,209dcf94,210820.0,306000.0,61000.0,5000.0,under investigation,0,2020-10-24,,fire
85,house,51ac1289,215270.0,604000.0,121000.0,500.0,open,20000,2005-07-14,2005-10-12,theft
86,house,ca447bba,203720.0,235000.0,47000.0,1000.0,settled,202720,2022-11-04,2023-02-02,water damage
87,house,a84ed281,207980.0,384000.0,77000.0,2000.0,settled,205980,2008-04-04,2008-07-03,water damage
88,house,6bf25345,197470.0,329000.0,66000.0,1000.0,settled,196470,2021-08-30,2021-11-28,water damage
89,house,1edb777b,185130.0,129000.0,26000.0,1000.0,under investigation,0,2023-06-17,,fire
90,house,2c73a4c7,177490.0,451000.0,90000.0,2000.0,settled,175490,2012-12-05,2013-03-05,water damage
91,house,bcfc616f,191120.0,149000.0,30000.0,2000.0,settled,189120,2010-10-22,2011-01-20,fire
92,house,8783c95d,212920.0,511000.0,102000.0,1000.0,settled,211920,2015-07-27,2015-10-25,fire
93,house,44de87fd,213250.0,644000.0,129000.0,5000.0,settled,208250,2014-04-14,2014-07-13,other
94,house,22f8975b,208090.0,312000.0,62000.0,500.0,settled,207590,2017-01-04,2017-04-04,nat cat
95,house,f54a975d,199360.0,547000.0,109000.0,500.0,under investigation,0,2013-10-30,,other
96,house,80fbd24e,191110.0,392000.0,78000.0,5000.0,open,20000,2023-03-14,2023-06-12,theft
97,house,1ce8dded,180080.0,342000.0,68000.0,1000.0,settled,179080,2012-06-26,2012-09-24,water damage
98,house,f0b7669a,194800.0,259000.0,52000.0,500.0,settled,194300,2015-07-11,2015-10-09,fire
99,house,58d1d83c,190940.0,494000.0,99000.0,1000.0,denied,0,2019-10-02,,water damage
100,house,33bf1520,178620.0,440000.0,88000.0,5000.0,denied,0,2013-08-24,,nat cat
101,house,6ce93395,205590.0,789000.0,158000.0,2000.0,open,20000,2016-05-09,2016-08-07,theft
102,house,7425291d,220830.0,59000.0,12000.0,5000.0,under investigation,0,2019-06-27,,fire
103,house,544f60ad,228430.0,551000.0,110000.0,1000.0,open,20000,2012-07-01,2012-09-29,theft
104,house,89e13b7f,190360.0,624000.0,125000.0,1000.0,settled,189360,2022-04-08,2022-07-07,fire
105,house,cea2e8ff,204310.0,394000.0,79000.0,5000.0,settled,199310,2020-05-15,2020-08-13,fire
106,house,10be38df,186460.0,423000.0,85000.0,500.0,settled,185960,2017-07-13,2017-10-11,nat cat
107,house,672cc1b3,224560.0,272000.0,54000.0,2000.0,under investigation,0,2004-10-13,,water damage
108,house,756d48ea,210380.0,561000.0,112000.0,500.0,under investigation,0,2013-10-24,,water damage
109,house,d21470d7,207730.0,744000.0,149000.0,5000.0,settled,202730,2018-11-19,2019-02-17,nat cat
110,house,44d4a728,222520.0,305000.0,61000.0,2000.0,settled,220520,2008-05-22,2008-08-20,other
111,house,548889fe,212540.0,371000.0,74000.0,1000.0,denied,0,2006-07-26,,water damage
112,house,fd643125,220670.0,183000.0,37000.0,1000.0,settled,219670,2023-05-06,2023-08-04,fire
113,house,528aa262,225230.0,588000.0,118000.0,2000.0,under investigation,0,2004-10-18,,water damage
114,house,9ff112d6,205920.0,467000.0,93000.0,1000.0,under investigation,0,2012-02-28,,other
115,house,dd57c016,198280.0,528000.0,106000.0,2000.0,under investigation,0,2020-07-14,,fire
116,house,97821376,204950.0,533000.0,107000.0,1000.0,open,20000,2005-09-16,2005-12-15,theft
117,house,8cb6fa22,217010.0,499000.0,100000.0,2000.0,settled,215010,2008-11-10,2009-02-08,nat cat
118,house,de0b4794,216090.0,289000.0,58000.0,5000.0,settled,211090,2018-10-05,2019-01-03,nat cat
119,house,33537cbf,202590.0,625000.0,125000.0,5000.0,settled,197590,2005-04-06,2005-07-05,fire
120,house,4498fec1,201740.0,310000.0,62000.0,2000.0,under investigation,0,2022-12-04,,fire
121,house,74478a65,182980.0,359000.0,72000.0,1000.0,settled,181980,2007-01-27,2007-04-27,fire
122,house,292ceb9f,201680.0,283000.0,57000.0,5000.0,under investigation,0,2012-07-07,,water damage
123,house,86020b37,185740.0,778000.0,156000.0,2000.0,settled,183740,2004-11-13,2005-02-11,water damage
124,house,f69c58cd,217180.0,482000.0,96000.0,2000.0,settled,215180,2020-12-04,2021-03-04,other
125,house,0c456348,177730.0,588000.0,118000.0,2000.0,settled,175730,2015-09-23,2015-12-22,fire
126,house,c70db351,209890.0,344000.0,69000.0,5000.0,under investigation,0,2023-02-12,,nat cat
127,house,35c188b1,215850.0,575000.0,115000.0,5000.0,settled,210850,2012-09-11,2012-12-10,water damage
128,house,023826d0,199860.0,273000.0,55000.0,500.0,under investigation,0,2014-10-15,,fire
129,house,44df4c49,193220.0,444000.0,89000.0,500.0,settled,192720,2023-06-22,2023-09-20,fire
130,house,b8809e4f,235550.0,437000.0,87000.0,500.0,settled,235050,2022-08-21,2022-11-19,other
131,house,971bb490,179420.0,213000.0,43000.0,5000.0,settled,174420,2004-11-27,2005-02-25,fire
132,house,51058ea4,206640.0,490000.0,98000.0,1000.0,under investigation,0,2006-04-12,,fire
133,house,44354c16,198760.0,579000.0,116000.0,500.0,denied,0,2022-06-18,,water damage
134,house,ccee2e50,190260.0,420000.0,84000.0,1000.0,settled,189260,2021-11-04,2022-02-02,fire
135,house,fd165e1b,177550.0,485000.0,97000.0,500.0,settled,177050,2007-02-11,2007-05-12,water damage
136,house,48e46a53,232300.0,274000.0,55000.0,5000.0,settled,227300,2013-10-11,2014-01-09,fire
137,house,96179795,191360.0,541000.0,108000.0,5000.0,under investigation,0,2020-11-27,,fire
138,house,6b341582,180270.0,246000.0,49000.0,500.0,open,20000,2016-05-19,2016-08-17,theft
139,house,434c9c52,203450.0,151000.0,30000.0,5000.0,settled,198450,2005-01-03,2005-04-03,fire
140,house,faee999e,210330.0,603000.0,121000.0,2000.0,under investigation,0,2012-01-07,,fire
141,house,47b54062,201260.0,352000.0,70000.0,1000.0,settled,200260,2022-03-29,2022-06-27,nat cat
142,house,df266d81,179510.0,596000.0,119000.0,2000.0,under investigation,0,2009-03-18,,fire
143,house,400bf351,197330.0,370000.0,74000.0,500.0,denied,0,2021-10-19,,fire
144,house,9077852e,190520.0,572000.0,114000.0,500.0,settled,190020,2005-03-02,2005-05-31,fire
145,house,27977684,175630.0,442000.0,88000.0,2000.0,settled,173630,2023-06-19,2023-09-17,fire
146,house,a8b81863,168140.0,521000.0,104000.0,2000.0,settled,166140,2023-10-26,2024-01-24,nat cat
147,house,29a4e99f,181310.0,382000.0,76000.0,1000.0,settled,180310,2018-08-05,2018-11-03,water damage
148,house,a44fe406,184980.0,180000.0,36000.0,500.0,settled,184480,2012-05-09,2012-08-07,other
149,house,844404dc,202210.0,469000.0,94000.0,2000.0,under investigation,0,2005-05-31,,water damage
150,house,3f1f1160,202870.0,455000.0,91000.0,500.0,settled,202370,2008-08-07,2008-11-05,water damage
151,house,dbf64dd8,221890.0,670000.0,134000.0,2000.0,settled,219890,2023-03-25,2023-06-23,water damage
152,house,046e1de2,195240.0,269000.0,54000.0,2000.0,settled,193240,2013-01-31,2013-05-01,fire
153,house,0b03cec5,194970.0,515000.0,103000.0,5000.0,settled,189970,2016-03-08,2016-06-06,water damage
154,house,2c84508e,203110.0,349000.0,70000.0,2000.0,settled,201110,2011-10-03,2012-01-01,fire
155,house,04d88fdb,227660.0,342000.0,68000.0,500.0,under investigation,0,2023-10-20,,fire
156,house,07b70248,227720.0,302000.0,60000.0,1000.0,settled,226720,2023-05-30,2023-08-28,fire
157,house,5c559433,208030.0,355000.0,71000.0,2000.0,settled,206030,2015-10-14,2016-01-12,other
158,house,385e926f,184660.0,394000.0,79000.0,1000.0,settled,183660,2009-01-28,2009-04-28,fire
159,house,90ce6a6e,220440.0,507000.0,101000.0,5000.0,under investigation,0,2012-11-19,,other
160,house,86329c8f,182900.0,371000.0,74000.0,2000.0,settled,180900,2006-06-17,2006-09-15,fire
161,house,09d5df54,202690.0,517000.0,103000.0,1000.0,open,20000,2010-07-04,2010-10-02,theft
162,house,8c8906ab,187160.0,648000.0,130000.0,1000.0,under investigation,0,2014-08-20,,fire
163,house,12ec09bf,227470.0,438000.0,88000.0,2000.0,settled,225470,2009-04-10,2009-07-09,fire
164,house,9fe833ad,227030.0,364000.0,73000.0,500.0,settled,226530,2014-03-26,2014-06-24,fire
165,house,e902bae1,210350.0,718000.0,144000.0,5000.0,under investigation,0,2013-12-08,,water damage
166,house,b746bc63,237390.0,338000.0,68000.0,5000.0,settled,232390,2006-03-16,2006-06-14,fire
167,house,6f56d048,183020.0,549000.0,110000.0,500.0,settled,182520,2022-10-22,2023-01-20,fire
168,house,44f0e480,166850.0,390000.0,78000.0,5000.0,settled,161850,2022-01-22,2022-04-22,fire
169,house,55550678,197450.0,422000.0,84000.0,2000.0,open,20000,2020-09-22,2020-12-21,theft
170,house,982061b0,222390.0,454000.0,91000.0,500.0,settled,221890,2016-02-24,2016-05-24,fire
171,house,2d0a2af3,196750.0,549000.0,110000.0,5000.0,settled,191750,2010-04-25,2010-07-24,water damage
172,house,f76f9e20,203680.0,640000.0,128000.0,5000.0,settled,198680,2022-09-28,2022-12-27,other
173,house,f7c6d02f,224520.0,438000.0,88000.0,2000.0,settled,222520,2006-12-12,2007-03-12,fire
174,house,1443e0b2,207680.0,329000.0,66000.0,5000.0,under investigation,0,2019-07-31,,fire
175,house,a7753ebd,188800.0,204000.0,41000.0,500.0,settled,188300,2008-05-23,2008-08-21,water damage
176,house,6d84dd89,180900.0,412000.0,82000.0,5000.0,settled,175900,2017-04-20,2017-07-19,water damage
177,house,bd501236,190720.0,227000.0,45000.0,2000.0,under investigation,0,2017-04-07,,nat cat
178,house,4fd4ead9,203550.0,713000.0,143000.0,2000.0,settled,201550,2006-02-27,2006-05-28,nat cat
179,house,f0df7fe8,208030.0,340000.0,68000.0,5000.0,settled,203030,2007-04-20,2007-07-19,nat cat
180,house,86ee4283,223720.0,530000.0,106000.0,5000.0,settled,218720,2009-09-29,2009-12-28,water damage
181,house,7b8bd393,205760.0,422000.0,84000.0,5000.0,settled,200760,2017-04-29,2017-07-28,water damage
182,house,df3386f7,196790.0,316000.0,63000.0,2000.0,settled,194790,2013-05-02,2013-07-31,water damage
183,house,1b3fd948,194090.0,309000.0,62000.0,500.0,settled,193590,2017-11-16,2018-02-14,fire
184,house,1b4e84f4,191220.0,400000.0,80000.0,500.0,settled,190720,2010-12-10,2011-03-10,nat cat
185,house,a99bb308,197080.0,439000.0,88000.0,2000.0,denied,0,2011-09-19,,water damage
186,house,f22474db,194470.0,516000.0,103000.0,5000.0,open,20000,2008-07-10,2008-10-08,theft
187,house,0521bc5b,187320.0,504000.0,101000.0,500.0,settled,186820,2021-06-17,2021-09-15,other
188,house,2cf06929,206930.0,403000.0,81000.0,1000.0,settled,205930,2022-06-06,2022-09-04,water damage
189,house,98b0af61,217440.0,723000.0,145000.0,1000.0,settled,216440,2010-09-30,2010-12-29,water damage
190,house,1b69a111,194990.0,128000.0,26000.0,1000.0,settled,193990,2008-11-02,2009-01-31,water damage
191,house,f9541d3a,182750.0,552000.0,110000.0,1000.0,settled,181750,2023-08-02,2023-10-31,nat cat
192,house,34d80eb1,213090.0,376000.0,75000.0,5000.0,open,20000,2012-07-10,2012-10-08,theft
193,house,220a2455,179900.0,276000.0,55000.0,5000.0,settled,174900,2023-09-17,2023-12-16,fire
194,house,aa178a97,200780.0,642000.0,128000.0,2000.0,settled,198780,2008-08-23,2008-11-21,water damage
195,house,8dd17fe4,216810.0,393000.0,79000.0,500.0,settled,216310,2010-08-31,2010-11-29,fire
196,house,96d3194b,192390.0,473000.0,95000.0,500.0,denied,0,2017-09-03,,water damage
197,house,90a95af8,185700.0,257000.0,51000.0,500.0,under investigation,0,2023-09-23,,water damage
198,house,9c0fbdb8,199310.0,712000.0,142000.0,5000.0,settled,194310,2008-09-05,2008-12-04,fire
199,house,b0afd1fe,195560.0,742000.0,148000.0,2000.0,under investigation,0,2023-07-30,,other
200,house,3235737c,188840.0,458000.0,92000.0,2000.0,settled,186840,2014-06-14,2014-09-12,fire
201,house,db863a6e,222140.0,222000.0,44000.0,2000.0,open,20000,2006-06-26,2006-09-24,theft
202,house,091e5d28,173460.0,414000.0,83000.0,500.0,settled,172960,2007-10-28,2008-01-26,water damage
203,house,87e28cb8,216900.0,299000.0,60000.0,1000.0,settled,215900,2022-10-14,2023-01-12,fire
204,house,809e194f,202250.0,337000.0,67000.0,5000.0,under investigation,0,2005-07-04,,water damage
205,house,6e142e5f,193140.0,618000.0,124000.0,5000.0,settled,188140,2023-03-16,2023-06-14,fire
206,house,28bfb4f9,191390.0,575000.0,115000.0,500.0,under investigation,0,2023-03-13,,nat cat
207,house,9403917f,216690.0,224000.0,45000.0,500.0,settled,216190,2009-07-06,2009-10-04,water damage
208,house,7a208e10,202450.0,494000.0,99000.0,2000.0,open,20000,2007-10-02,2007-12-31,theft
209,house,e11f4ad7,207190.0,454000.0,91000.0,2000.0,settled,205190,2008-01-01,2008-03-31,nat cat
210,house,c9816606,195260.0,529000.0,106000.0,1000.0,under investigation,0,2016-06-08,,nat cat
211,house,8d45e624,211060.0,422000.0,84000.0,5000.0,settled,206060,2010-06-05,2010-09-03,water damage
212,house,c33c3cbd,209360.0,299000.0,60000.0,500.0,settled,208860,2011-07-07,2011-10-05,other
213,house,8c13b7d0,190900.0,507000.0,101000.0,2000.0,under investigation,0,2019-08-09,,water damage
214,house,6ba6dbee,195720.0,645000.0,129000.0,500.0,denied,0,2010-08-22,,other
215,house,404877f2,207550.0,465000.0,93000.0,500.0,open,20000,2022-09-15,2022-12-14,theft
216,house,1b52352f,209270.0,185000.0,37000.0,2000.0,settled,207270,2009-01-24,2009-04-24,nat cat
217,house,b8880f72,233490.0,655000.0,131000.0,1000.0,settled,232490,2004-03-23,2004-06-21,water damage
218,house,f4f19cc8,192040.0,222000.0,44000.0,5000.0,settled,187040,2004-12-31,2005-03-31,nat cat
219,house,bf153b58,199990.0,406000.0,81000.0,5000.0,denied,0,2006-09-03,,fire
220,house,b23442bd,197120.0,436000.0,87000.0,1000.0,settled,196120,2004-01-19,2004-04-18,other
221,house,a1101991,210920.0,210000.0,42000.0,1000.0,settled,209920,2019-10-30,2020-01-28,water damage
222,house,5d195f16,194010.0,55000.0,11000.0,2000.0,under investigation,0,2015-09-30,,water damage
223,house,11487a80,197730.0,592000.0,118000.0,1000.0,open,20000,2020-04-05,2020-07-04,theft
224,house,d930e77e,183570.0,405000.0,81000.0,2000.0,settled,181570,2014-10-22,2015-01-20,nat cat
225,house,961ffd88,220200.0,245000.0,49000.0,2000.0,settled,218200,2023-03-16,2023-06-14,fire
226,house,e21a74d1,197460.0,208000.0,42000.0,1000.0,settled,196460,2019-10-25,2020-01-23,water damage
227,house,1076de84,216700.0,273000.0,55000.0,5000.0,settled,211700,2006-03-09,2006-06-07,nat cat
228,house,0b29f455,198430.0,499000.0,100000.0,2000.0,settled,196430,2018-12-26,2019-03-26,other
229,house,eb42e936,213570.0,474000.0,95000.0,1000.0,open,20000,2017-08-29,2017-11-27,theft
230,house,4b969ec7,215070.0,912000.0,182000.0,2000.0,settled,213070,2009-09-06,2009-12-05,fire
231,house,30ad6f31,194390.0,623000.0,125000.0,1000.0,settled,193390,2015-04-25,2015-07-24,other
232,house,398881a9,197490.0,284000.0,57000.0,1000.0,settled,196490,2021-11-05,2022-02-03,fire
233,house,f3c935d2,181890.0,417000.0,83000.0,2000.0,settled,179890,2014-10-10,2015-01-08,water damage
234,house,8fc3d91c,196280.0,715000.0,143000.0,500.0,under investigation,0,2021-07-23,,water damage
235,house,23e394c9,201820.0,295000.0,59000.0,2000.0,settled,199820,2017-03-25,2017-06-23,water damage
236,house,7ee4d88a,179530.0,531000.0,106000.0,500.0,open,20000,2014-02-01,2014-05-02,theft
237,house,43847e09,188060.0,437000.0,87000.0,1000.0,denied,0,2010-03-30,,fire
238,house,88407858,205190.0,250000.0,50000.0,5000.0,under investigation,0,2016-08-31,,fire
239,house,4f4c4ff4,179860.0,505000.0,101000.0,2000.0,under investigation,0,2011-03-28,,fire
240,house,343686d2,224250.0,624000.0,125000.0,1000.0,settled,223250,2022-08-03,2022-11-01,other
241,house,04e10351,201070.0,300000.0,60000.0,500.0,under investigation,0,2023-05-29,,water damage
242,house,9d28f69b,200790.0,452000.0,90000.0,1000.0,settled,199790,2009-07-21,2009-10-19,water damage
243,house,c6d0574d,190270.0,401000.0,80000.0,500.0,open,20000,2015-09-23,2015-12-22,theft
244,house,3155c9c7,184080.0,518000.0,104000.0,1000.0,settled,183080,2017-03-17,2017-06-15,water damage
245,house,6b5b1bd9,230290.0,397000.0,79000.0,1000.0,settled,229290,2006-08-10,2006-11-08,water damage
246,house,4af2a718,191930.0,555000.0,111000.0,1000.0,under investigation,0,2010-01-07,,water damage
247,house,af4d3cdd,228190.0,478000.0,96000.0,5000.0,settled,223190,2012-09-14,2012-12-13,water damage
248,house,28ff1490,220660.0,445000.0,89000.0,1000.0,settled,219660,2005-01-24,2005-04-24,other
249,house,0b653e22,203650.0,653000.0,131000.0,2000.0,settled,201650,2007-07-09,2007-10-07,nat cat
250,house,54b41980,221450.0,470000.0,94000.0,2000.0,under investigation,0,2006-03-02,,fire
251,house,2f6d0e87,174900.0,470000.0,94000.0,2000.0,settled,172900,2021-03-22,2021-06-20,fire
252,house,76ff06c2,221490.0,434000.0,87000.0,1000.0,settled,220490,2012-02-05,2012-05-05,fire
253,house,b15661aa,202890.0,524000.0,105000.0,1000.0,settled,201890,2007-08-28,2007-11-26,nat cat
254,house,dd53e880,212000.0,27000.0,5000.0,500.0,settled,211500,2017-06-12,2017-09-10,fire
255,house,6c008763,188180.0,571000.0,114000.0,5000.0,settled,183180,2005-08-18,2005-11-16,other
256,house,a77ca8c3,197980.0,529000.0,106000.0,1000.0,open,20000,2006-12-06,2007-03-06,theft
257,house,a5125814,233620.0,440000.0,88000.0,1000.0,settled,232620,2008-01-04,2008-04-03,fire
258,house,728ed594,203480.0,312000.0,62000.0,5000.0,settled,198480,2009-02-16,2009-05-17,fire
259,house,3f30e9b9,196590.0,329000.0,66000.0,1000.0,open,20000,2010-01-02,2010-04-02,theft
260,house,4a75a4e7,206530.0,474000.0,95000.0,1000.0,settled,205530,2008-10-13,2009-01-11,fire
261,house,02c735a5,211170.0,312000.0,62000.0,2000.0,under investigation,0,2018-12-21,,water damage
262,house,d8e4a087,217790.0,264000.0,53000.0,500.0,settled,217290,2021-08-23,2021-11-21,nat cat
263,house,9589751e,199660.0,437000.0,87000.0,2000.0,under investigation,0,2004-10-28,,water damage
264,house,9f2b32c9,222020.0,481000.0,96000.0,500.0,denied,0,2013-11-26,,other
265,house,0d3c2047,190150.0,481000.0,96000.0,500.0,open,20000,2021-01-18,2021-04-18,theft
266,house,623586ba,191670.0,315000.0,63000.0,5000.0,under investigation,0,2004-06-23,,fire
