"","property_type","claim_id","claim_amount","property_value","pml","deductible","claim_status","payment","incident_date","payment_date","incident_type"
"25","house","9e246bc8",195130,366000,73000,500,"settled",194630,2023-07-03,2023-10-01,"fire"
"26","house","2ac5c3b7",205280,353000,71000,1000,"settled",204280,2020-06-24,2020-09-22,"water damage"
"27","house","cf901b66",183110,609000,122000,500,"settled",182610,2006-06-25,2006-09-23,"water damage"
"28","house","9de62cd3",186560,424000,85000,5000,"settled",181560,2008-06-21,2008-09-19,"fire"
"29","house","7099e770",184570,345000,69000,1000,"settled",183570,2016-03-23,2016-06-21,"water damage"
"30","house","1be37e60",180250,552000,110000,5000,"open",20000,2014-03-03,2014-06-01,"theft"
"31","house","a2231633",207030,359000,72000,2000,"settled",205030,2010-03-30,2010-06-28,"fire"
"32","house","5d496b84",203270,3e+05,60000,1000,"settled",202270,2013-03-14,2013-06-12,"nat cat"
"33","house","dd8aa46d",201710,574000,115000,5000,"settled",196710,2013-02-12,2013-05-13,"fire"
"34","house","c45e7553",192820,352000,70000,5000,"settled",187820,2021-11-18,2022-02-16,"water damage"
"35","house","d79e0490",187820,215000,43000,500,"denied",0,2005-10-27,NA,"fire"
"36","house","dafad15a",175380,437000,87000,500,"settled",174880,2013-09-20,2013-12-19,"water damage"
"37","house","be5d7273",175990,370000,74000,5000,"settled",170990,2022-11-07,2023-02-05,"water damage"
"38","house","9b21802f",196190,774000,155000,5000,"settled",191190,2004-11-13,2005-02-11,"fire"
"39","house","d8260125",185870,497000,99000,1000,"settled",184870,2016-06-10,2016-09-08,"fire"
"40","house","62f5ae43",176200,351000,70000,500,"under investigation",0,2007-05-18,NA,"water damage"
"41","house","11018fa5",188620,129000,26000,1000,"under investigation",0,2006-03-23,NA,"nat cat"
"42","house","c1865fe6",210690,431000,86000,1000,"settled",209690,2021-10-15,2022-01-13,"fire"
"43","house","99642d2a",189710,413000,83000,5000,"settled",184710,2013-08-31,2013-11-29,"other"
"44","house","b6d8d62f",218470,339000,68000,500,"settled",217970,2006-04-27,2006-07-26,"fire"
"45","house","851f45c3",189970,473000,95000,1000,"settled",188970,2010-06-29,2010-09-27,"water damage"
"46","house","e18124aa",211190,598000,120000,2000,"under investigation",0,2007-06-13,NA,"water damage"
"47","house","9ea4e063",200620,488000,98000,1000,"denied",0,2022-06-25,NA,"nat cat"
"48","house","010ea76e",185360,447000,89000,500,"denied",0,2004-12-19,NA,"nat cat"
"49","house","f59effaa",211450,548000,110000,2000,"settled",209450,2017-05-30,2017-08-28,"fire"
"50","house","d36ebb3e",219810,492000,98000,1000,"settled",218810,2008-03-11,2008-06-09,"nat cat"
"51","house","6f38ec89",219160,501000,1e+05,5000,"denied",0,2005-01-21,NA,"water damage"
"52","house","e8644ecd",217150,555000,111000,2000,"settled",215150,2011-10-06,2012-01-04,"fire"
"53","house","17a3c821",196790,290000,58000,1000,"under investigation",0,2007-04-10,NA,"fire"
"54","house","888c0d12",197390,292000,58000,2000,"settled",195390,2019-12-22,2020-03-21,"nat cat"
"55","house","a2033324",213190,467000,93000,500,"open",20000,2006-07-30,2006-10-28,"theft"
"56","house","0533ec5b",188570,192000,38000,1000,"settled",187570,2004-01-29,2004-04-28,"water damage"
"57","house","24456f02",238570,336000,67000,500,"under investigation",0,2020-09-13,NA,"fire"
"58","house","78f5b56a",207640,644000,129000,500,"settled",207140,2006-05-15,2006-08-13,"other"
"59","house","c6de1e62",218760,537000,107000,500,"settled",218260,2018-12-04,2019-03-04,"water damage"
"60","house","19fb26ce",191510,473000,95000,5000,"under investigation",0,2008-09-23,NA,"fire"
"61","house","774b4775",184740,473000,95000,500,"settled",184240,2023-11-26,2024-02-24,"fire"
"62","house","ac4238c6",184860,240000,48000,500,"settled",184360,2004-10-05,2005-01-03,"fire"
"63","house","2d40c6df",180970,305000,61000,5000,"denied",0,2021-08-06,NA,"nat cat"
"64","house","c088eda5",210030,523000,105000,500,"settled",209530,2009-04-09,2009-07-08,"nat cat"
"65","house","7ea8ea5b",189330,492000,98000,2000,"under investigation",0,2006-05-28,NA,"nat cat"
"66","house","e2f041d2",199210,383000,77000,5000,"settled",194210,2017-03-01,2017-05-30,"fire"
"67","house","e1c75ae9",192150,630000,126000,5000,"settled",187150,2023-05-03,2023-08-01,"fire"
"68","house","188c563b",169920,42000,8000,5000,"under investigation",0,2008-05-14,NA,"water damage"
"69","house","3cb85b06",2e+05,603000,121000,500,"settled",199500,2005-01-17,2005-04-17,"fire"
"70","house","a56d4ee1",188530,604000,121000,2000,"settled",186530,2015-10-13,2016-01-11,"fire"
"71","house","bc6506ea",192160,381000,76000,2000,"settled",190160,2018-11-29,2019-02-27,"fire"
"72","house","56bae187",189790,303000,61000,2000,"settled",187790,2005-08-24,2005-11-22,"water damage"
"73","house","9756714f",215670,698000,140000,500,"settled",215170,2008-06-28,2008-09-26,"fire"
"74","house","94d1ec10",190210,661000,132000,2000,"settled",188210,2022-08-14,2022-11-12,"fire"
"75","house","09f2e0f3",200460,315000,63000,5000,"settled",195460,2012-03-24,2012-06-22,"fire"
"76","house","7c7afc28",181050,574000,115000,500,"under investigation",0,2008-11-09,NA,"other"
"77","house","474c5691",196280,640000,128000,5000,"settled",191280,2005-01-07,2005-04-07,"nat cat"
"78","house","ab2234b2",202280,397000,79000,500,"settled",201780,2008-03-09,2008-06-07,"water damage"
"79","house","456b2a2d",206700,540000,108000,5000,"settled",201700,2009-01-26,2009-04-26,"other"
"80","house","a4b9376a",221260,568000,114000,1000,"settled",220260,2011-05-10,2011-08-08,"fire"
"81","house","816a296a",183300,355000,71000,1000,"settled",182300,2013-10-31,2014-01-29,"nat cat"
"82","house","5df777d7",191740,585000,117000,1000,"settled",190740,2017-06-17,2017-09-15,"water damage"
"83","house","49ab6a2d",219430,231000,46000,500,"settled",218930,2016-10-01,2016-12-30,"water damage"
"84","house","209dcf94",210820,306000,61000,5000,"under investigation",0,2020-10-24,NA,"fire"
"85","house","51ac1289",215270,604000,121000,500,"open",20000,2005-07-14,2005-10-12,"theft"
"86","house","ca447bba",203720,235000,47000,1000,"settled",202720,2022-11-04,2023-02-02,"water damage"
"87","house","a84ed281",207980,384000,77000,2000,"settled",205980,2008-04-04,2008-07-03,"water damage"
"88","house","6bf25345",197470,329000,66000,1000,"settled",196470,2021-08-30,2021-11-28,"water damage"
"89","house","1edb777b",185130,129000,26000,1000,"under investigation",0,2023-06-17,NA,"fire"
"90","house","2c73a4c7",177490,451000,90000,2000,"settled",175490,2012-12-05,2013-03-05,"water damage"
"91","house","bcfc616f",191120,149000,30000,2000,"settled",189120,2010-10-22,2011-01-20,"fire"
"92","house","8783c95d",212920,511000,102000,1000,"settled",211920,2015-07-27,2015-10-25,"fire"
"93","house","44de87fd",213250,644000,129000,5000,"settled",208250,2014-04-14,2014-07-13,"other"
"94","house","22f8975b",208090,312000,62000,500,"settled",207590,2017-01-04,2017-04-04,"nat cat"
"95","house","f54a975d",199360,547000,109000,500,"under investigation",0,2013-10-30,NA,"other"
"96","house","80fbd24e",191110,392000,78000,5000,"open",20000,2023-03-14,2023-06-12,"theft"
"97","house","1ce8dded",180080,342000,68000,1000,"settled",179080,2012-06-26,2012-09-24,"water damage"
"98","house","f0b7669a",194800,259000,52000,500,"settled",194300,2015-07-11,2015-10-09,"fire"
"99","house","58d1d83c",190940,494000,99000,1000,"denied",0,2019-10-02,NA,"water damage"
"100","house","33bf1520",178620,440000,88000,5000,"denied",0,2013-08-24,NA,"nat cat"
"101","house","6ce93395",205590,789000,158000,2000,"open",20000,2016-05-09,2016-08-07,"theft"
"102","house","7425291d",220830,59000,12000,5000,"under investigation",0,2019-06-27,NA,"fire"
"103","house","544f60ad",228430,551000,110000,1000,"open",20000,2012-07-01,2012-09-29,"theft"
"104","house","89e13b7f",190360,624000,125000,1000,"settled",189360,2022-04-08,2022-07-07,"fire"
"105","house","cea2e8ff",204310,394000,79000,5000,"settled",199310,2020-05-15,2020-08-13,"fire"
"106","house","10be38df",186460,423000,85000,500,"settled",185960,2017-07-13,2017-10-11,"nat cat"
"107","house","672cc1b3",224560,272000,54000,2000,"under investigation",0,2004-10-13,NA,"water damage"
"108","house","756d48ea",210380,561000,112000,500,"under investigation",0,2013-10-24,NA,"water damage"
"109","house","d21470d7",207730,744000,149000,5000,"settled",202730,2018-11-19,2019-02-17,"nat cat"
"110","house","44d4a728",222520,305000,61000,2000,"settled",220520,2008-05-22,2008-08-20,"other"
"111","house","548889fe",212540,371000,74000,1000,"denied",0,2006-07-26,NA,"water damage"
"112","house","fd643125",220670,183000,37000,1000,"settled",219670,2023-05-06,2023-08-04,"fire"
"113","house","528aa262",225230,588000,118000,2000,"under investigation",0,2004-10-18,NA,"water damage"
"114","house","9ff112d6",205920,467000,93000,1000,"under investigation",0,2012-02-28,NA,"other"
"115","house","dd57c016",198280,528000,106000,2000,"under investigation",0,2020-07-14,NA,"fire"
"116","house","97821376",204950,533000,107000,1000,"open",20000,2005-09-16,2005-12-15,"theft"
"117","house","8cb6fa22",217010,499000,1e+05,2000,"settled",215010,2008-11-10,2009-02-08,"nat cat"
"118","house","de0b4794",216090,289000,58000,5000,"settled",211090,2018-10-05,2019-01-03,"nat cat"
"119","house","33537cbf",202590,625000,125000,5000,"settled",197590,2005-04-06,2005-07-05,"fire"
"120","house","4498fec1",201740,310000,62000,2000,"under investigation",0,2022-12-04,NA,"fire"
"121","house","74478a65",182980,359000,72000,1000,"settled",181980,2007-01-27,2007-04-27,"fire"
"122","house","292ceb9f",201680,283000,57000,5000,"under investigation",0,2012-07-07,NA,"water damage"
"123","house","86020b37",185740,778000,156000,2000,"settled",183740,2004-11-13,2005-02-11,"water damage"
"124","house","f69c58cd",217180,482000,96000,2000,"settled",215180,2020-12-04,2021-03-04,"other"
"125","house","0c456348",177730,588000,118000,2000,"settled",175730,2015-09-23,2015-12-22,"fire"
"126","house","c70db351",209890,344000,69000,5000,"under investigation",0,2023-02-12,NA,"nat cat"
"127","house","35c188b1",215850,575000,115000,5000,"settled",210850,2012-09-11,2012-12-10,"water damage"
"128","house","023826d0",199860,273000,55000,500,"under investigation",0,2014-10-15,NA,"fire"
"129","house","44df4c49",193220,444000,89000,500,"settled",192720,2023-06-22,2023-09-20,"fire"
"130","house","b8809e4f",235550,437000,87000,500,"settled",235050,2022-08-21,2022-11-19,"other"
"131","house","971bb490",179420,213000,43000,5000,"settled",174420,2004-11-27,2005-02-25,"fire"
"132","house","51058ea4",206640,490000,98000,1000,"under investigation",0,2006-04-12,NA,"fire"
"133","house","44354c16",198760,579000,116000,500,"denied",0,2022-06-18,NA,"water damage"
"134","house","ccee2e50",190260,420000,84000,1000,"settled",189260,2021-11-04,2022-02-02,"fire"
"135","house","fd165e1b",177550,485000,97000,500,"settled",177050,2007-02-11,2007-05-12,"water damage"
"136","house","48e46a53",232300,274000,55000,5000,"settled",227300,2013-10-11,2014-01-09,"fire"
"137","house","96179795",191360,541000,108000,5000,"under investigation",0,2020-11-27,NA,"fire"
"138","house","6b341582",180270,246000,49000,500,"open",20000,2016-05-19,2016-08-17,"theft"
"139","house","434c9c52",203450,151000,30000,5000,"settled",198450,2005-01-03,2005-04-03,"fire"
"140","house","faee999e",210330,603000,121000,2000,"under investigation",0,2012-01-07,NA,"fire"
"141","house","47b54062",201260,352000,70000,1000,"settled",200260,2022-03-29,2022-06-27,"nat cat"
"142","house","df266d81",179510,596000,119000,2000,"under investigation",0,2009-03-18,NA,"fire"
"143","house","400bf351",197330,370000,74000,500,"denied",0,2021-10-19,NA,"fire"
"144","house","9077852e",190520,572000,114000,500,"settled",190020,2005-03-02,2005-05-31,"fire"
"145","house","27977684",175630,442000,88000,2000,"settled",173630,2023-06-19,2023-09-17,"fire"
"146","house","a8b81863",168140,521000,104000,2000,"settled",166140,2023-10-26,2024-01-24,"nat cat"
"147","house","29a4e99f",181310,382000,76000,1000,"settled",180310,2018-08-05,2018-11-03,"water damage"
"148","house","a44fe406",184980,180000,36000,500,"settled",184480,2012-05-09,2012-08-07,"other"
"149","house","844404dc",202210,469000,94000,2000,"under investigation",0,2005-05-31,NA,"water damage"
"150","house","3f1f1160",202870,455000,91000,500,"settled",202370,2008-08-07,2008-11-05,"water damage"
"151","house","dbf64dd8",221890,670000,134000,2000,"settled",219890,2023-03-25,2023-06-23,"water damage"
"152","house","046e1de2",195240,269000,54000,2000,"settled",193240,2013-01-31,2013-05-01,"fire"
"153","house","0b03cec5",194970,515000,103000,5000,"settled",189970,2016-03-08,2016-06-06,"water damage"
"154","house","2c84508e",203110,349000,70000,2000,"settled",201110,2011-10-03,2012-01-01,"fire"
"155","house","04d88fdb",227660,342000,68000,500,"under investigation",0,2023-10-20,NA,"fire"
"156","house","07b70248",227720,302000,60000,1000,"settled",226720,2023-05-30,2023-08-28,"fire"
"157","house","5c559433",208030,355000,71000,2000,"settled",206030,2015-10-14,2016-01-12,"other"
"158","house","385e926f",184660,394000,79000,1000,"settled",183660,2009-01-28,2009-04-28,"fire"
"159","house","90ce6a6e",220440,507000,101000,5000,"under investigation",0,2012-11-19,NA,"other"
"160","house","86329c8f",182900,371000,74000,2000,"settled",180900,2006-06-17,2006-09-15,"fire"
"161","house","09d5df54",202690,517000,103000,1000,"open",20000,2010-07-04,2010-10-02,"theft"
"162","house","8c8906ab",187160,648000,130000,1000,"under investigation",0,2014-08-20,NA,"fire"
"163","house","12ec09bf",227470,438000,88000,2000,"settled",225470,2009-04-10,2009-07-09,"fire"
"164","house","9fe833ad",227030,364000,73000,500,"settled",226530,2014-03-26,2014-06-24,"fire"
"165","house","e902bae1",210350,718000,144000,5000,"under investigation",0,2013-12-08,NA,"water damage"
"166","house","b746bc63",237390,338000,68000,5000,"settled",232390,2006-03-16,2006-06-14,"fire"
"167","house","6f56d048",183020,549000,110000,500,"settled",182520,2022-10-22,2023-01-20,"fire"
"168","house","44f0e480",166850,390000,78000,5000,"settled",161850,2022-01-22,2022-04-22,"fire"
"169","house","55550678",197450,422000,84000,2000,"open",20000,2020-09-22,2020-12-21,"theft"
"170","house","982061b0",222390,454000,91000,500,"settled",221890,2016-02-24,2016-05-24,"fire"
"171","house","2d0a2af3",196750,549000,110000,5000,"settled",191750,2010-04-25,2010-07-24,"water damage"
"172","house","f76f9e20",203680,640000,128000,5000,"settled",198680,2022-09-28,2022-12-27,"other"
"173","house","f7c6d02f",224520,438000,88000,2000,"settled",222520,2006-12-12,2007-03-12,"fire"
"174","house","1443e0b2",207680,329000,66000,5000,"under investigation",0,2019-07-31,NA,"fire"
"175","house","a7753ebd",188800,204000,41000,500,"settled",188300,2008-05-23,2008-08-21,"water damage"
"176","house","6d84dd89",180900,412000,82000,5000,"settled",175900,2017-04-20,2017-07-19,"water damage"
"177","house","bd501236",190720,227000,45000,2000,"under investigation",0,2017-04-07,NA,"nat cat"
"178","house","4fd4ead9",203550,713000,143000,2000,"settled",201550,2006-02-27,2006-05-28,"nat cat"
"179","house","f0df7fe8",208030,340000,68000,5000,"settled",203030,2007-04-20,2007-07-19,"nat cat"
"180","house","86ee4283",223720,530000,106000,5000,"settled",218720,2009-09-29,2009-12-28,"water damage"
"181","house","7b8bd393",205760,422000,84000,5000,"settled",200760,2017-04-29,2017-07-28,"water damage"
"182","house","df3386f7",196790,316000,63000,2000,"settled",194790,2013-05-02,2013-07-31,"water damage"
"183","house","1b3fd948",194090,309000,62000,500,"settled",193590,2017-11-16,2018-02-14,"fire"
"184","house","1b4e84f4",191220,4e+05,80000,500,"settled",190720,2010-12-10,2011-03-10,"nat cat"
"185","house","a99bb308",197080,439000,88000,2000,"denied",0,2011-09-19,NA,"water damage"
"186","house","f22474db",194470,516000,103000,5000,"open",20000,2008-07-10,2008-10-08,"theft"
"187","house","0521bc5b",187320,504000,101000,500,"settled",186820,2021-06-17,2021-09-15,"other"
"188","house","2cf06929",206930,403000,81000,1000,"settled",205930,2022-06-06,2022-09-04,"water damage"
"189","house","98b0af61",217440,723000,145000,1000,"settled",216440,2010-09-30,2010-12-29,"water damage"
"190","house","1b69a111",194990,128000,26000,1000,"settled",193990,2008-11-02,2009-01-31,"water damage"
"191","house","f9541d3a",182750,552000,110000,1000,"settled",181750,2023-08-02,2023-10-31,"nat cat"
"192","house","34d80eb1",213090,376000,75000,5000,"open",20000,2012-07-10,2012-10-08,"theft"
"193","house","220a2455",179900,276000,55000,5000,"settled",174900,2023-09-17,2023-12-16,"fire"
"194","house","aa178a97",200780,642000,128000,2000,"settled",198780,2008-08-23,2008-11-21,"water damage"
"195","house","8dd17fe4",216810,393000,79000,500,"settled",216310,2010-08-31,2010-11-29,"fire"
"196","house","96d3194b",192390,473000,95000,500,"denied",0,2017-09-03,NA,"water damage"
"197","house","90a95af8",185700,257000,51000,500,"under investigation",0,2023-09-23,NA,"water damage"
"198","house","9c0fbdb8",199310,712000,142000,5000,"settled",194310,2008-09-05,2008-12-04,"fire"
"199","house","b0afd1fe",195560,742000,148000,2000,"under investigation",0,2023-07-30,NA,"other"
"200","house","3235737c",188840,458000,92000,2000,"settled",186840,2014-06-14,2014-09-12,"fire"
"201","house","db863a6e",222140,222000,44000,2000,"open",20000,2006-06-26,2006-09-24,"theft"
"202","house","091e5d28",173460,414000,83000,500,"settled",172960,2007-10-28,2008-01-26,"water damage"
"203","house","87e28cb8",216900,299000,60000,1000,"settled",215900,2022-10-14,2023-01-12,"fire"
"204","house","809e194f",202250,337000,67000,5000,"under investigation",0,2005-07-04,NA,"water damage"
"205","house","6e142e5f",193140,618000,124000,5000,"settled",188140,2023-03-16,2023-06-14,"fire"
"206","house","28bfb4f9",191390,575000,115000,500,"under investigation",0,2023-03-13,NA,"nat cat"
"207","house","9403917f",216690,224000,45000,500,"settled",216190,2009-07-06,2009-10-04,"water damage"
"208","house","7a208e10",202450,494000,99000,2000,"open",20000,2007-10-02,2007-12-31,"theft"
"209","house","e11f4ad7",207190,454000,91000,2000,"settled",205190,2008-01-01,2008-03-31,"nat cat"
"210","house","c9816606",195260,529000,106000,1000,"under investigation",0,2016-06-08,NA,"nat cat"
"211","house","8d45e624",211060,422000,84000,5000,"settled",206060,2010-06-05,2010-09-03,"water damage"
"212","house","c33c3cbd",209360,299000,60000,500,"settled",208860,2011-07-07,2011-10-05,"other"
"213","house","8c13b7d0",190900,507000,101000,2000,"under investigation",0,2019-08-09,NA,"water damage"
"214","house","6ba6dbee",195720,645000,129000,500,"denied",0,2010-08-22,NA,"other"
"215","house","404877f2",207550,465000,93000,500,"open",20000,2022-09-15,2022-12-14,"theft"
"216","house","1b52352f",209270,185000,37000,2000,"settled",207270,2009-01-24,2009-04-24,"nat cat"
"217","house","b8880f72",233490,655000,131000,1000,"settled",232490,2004-03-23,2004-06-21,"water damage"
"218","house","f4f19cc8",192040,222000,44000,5000,"settled",187040,2004-12-31,2005-03-31,"nat cat"
"219","house","bf153b58",199990,406000,81000,5000,"denied",0,2006-09-03,NA,"fire"
"220","house","b23442bd",197120,436000,87000,1000,"settled",196120,2004-01-19,2004-04-18,"other"
"221","house","a1101991",210920,210000,42000,1000,"settled",209920,2019-10-30,2020-01-28,"water damage"
"222","house","5d195f16",194010,55000,11000,2000,"under investigation",0,2015-09-30,NA,"water damage"
"223","house","11487a80",197730,592000,118000,1000,"open",20000,2020-04-05,2020-07-04,"theft"
"224","house","d930e77e",183570,405000,81000,2000,"settled",181570,2014-10-22,2015-01-20,"nat cat"
"225","house","961ffd88",220200,245000,49000,2000,"settled",218200,2023-03-16,2023-06-14,"fire"
"226","house","e21a74d1",197460,208000,42000,1000,"settled",196460,2019-10-25,2020-01-23,"water damage"
"227","house","1076de84",216700,273000,55000,5000,"settled",211700,2006-03-09,2006-06-07,"nat cat"
"228","house","0b29f455",198430,499000,1e+05,2000,"settled",196430,2018-12-26,2019-03-26,"other"
"229","house","eb42e936",213570,474000,95000,1000,"open",20000,2017-08-29,2017-11-27,"theft"
"230","house","4b969ec7",215070,912000,182000,2000,"settled",213070,2009-09-06,2009-12-05,"fire"
"231","house","30ad6f31",194390,623000,125000,1000,"settled",193390,2015-04-25,2015-07-24,"other"
"232","house","398881a9",197490,284000,57000,1000,"settled",196490,2021-11-05,2022-02-03,"fire"
"233","house","f3c935d2",181890,417000,83000,2000,"settled",179890,2014-10-10,2015-01-08,"water damage"
"234","house","8fc3d91c",196280,715000,143000,500,"under investigation",0,2021-07-23,NA,"water damage"
"235","house","23e394c9",201820,295000,59000,2000,"settled",199820,2017-03-25,2017-06-23,"water damage"
"236","house","7ee4d88a",179530,531000,106000,500,"open",20000,2014-02-01,2014-05-02,"theft"
"237","house","43847e09",188060,437000,87000,1000,"denied",0,2010-03-30,NA,"fire"
"238","house","88407858",205190,250000,50000,5000,"under investigation",0,2016-08-31,NA,"fire"
"239","house","4f4c4ff4",179860,505000,101000,2000,"under investigation",0,2011-03-28,NA,"fire"
"240","house","343686d2",224250,624000,125000,1000,"settled",223250,2022-08-03,2022-11-01,"other"
"241","house","04e10351",201070,3e+05,60000,500,"under investigation",0,2023-05-29,NA,"water damage"
"242","house","9d28f69b",200790,452000,90000,1000,"settled",199790,2009-07-21,2009-10-19,"water damage"
"243","house","c6d0574d",190270,401000,80000,500,"open",20000,2015-09-23,2015-12-22,"theft"
"244","house","3155c9c7",184080,518000,104000,1000,"settled",183080,2017-03-17,2017-06-15,"water damage"
"245","house","6b5b1bd9",230290,397000,79000,1000,"settled",229290,2006-08-10,2006-11-08,"water damage"
"246","house","4af2a718",191930,555000,111000,1000,"under investigation",0,2010-01-07,NA,"water damage"
"247","house","af4d3cdd",228190,478000,96000,5000,"settled",223190,2012-09-14,2012-12-13,"water damage"
"248","house","28ff1490",220660,445000,89000,1000,"settled",219660,2005-01-24,2005-04-24,"other"
"249","house","0b653e22",203650,653000,131000,2000,"settled",201650,2007-07-09,2007-10-07,"nat cat"
"250","house","54b41980",221450,470000,94000,2000,"under investigation",0,2006-03-02,NA,"fire"
"251","house","2f6d0e87",174900,470000,94000,2000,"settled",172900,2021-03-22,2021-06-20,"fire"
"252","house","76ff06c2",221490,434000,87000,1000,"settled",220490,2012-02-05,2012-05-05,"fire"
"253","house","b15661aa",202890,524000,105000,1000,"settled",201890,2007-08-28,2007-11-26,"nat cat"
"254","house","dd53e880",212000,27000,5000,500,"settled",211500,2017-06-12,2017-09-10,"fire"
"255","house","6c008763",188180,571000,114000,5000,"settled",183180,2005-08-18,2005-11-16,"other"
"256","house","a77ca8c3",197980,529000,106000,1000,"open",20000,2006-12-06,2007-03-06,"theft"
"257","house","a5125814",233620,440000,88000,1000,"settled",232620,2008-01-04,2008-04-03,"fire"
"258","house","728ed594",203480,312000,62000,5000,"settled",198480,2009-02-16,2009-05-17,"fire"
"259","house","3f30e9b9",196590,329000,66000,1000,"open",20000,2010-01-02,2010-04-02,"theft"
"260","house","4a75a4e7",206530,474000,95000,1000,"settled",205530,2008-10-13,2009-01-11,"fire"
"261","house","02c735a5",211170,312000,62000,2000,"under investigation",0,2018-12-21,NA,"water damage"
"262","house","d8e4a087",217790,264000,53000,500,"settled",217290,2021-08-23,2021-11-21,"nat cat"
"263","house","9589751e",199660,437000,87000,2000,"under investigation",0,2004-10-28,NA,"water damage"
"264","house","9f2b32c9",222020,481000,96000,500,"denied",0,2013-11-26,NA,"other"
"265","house","0d3c2047",190150,481000,96000,500,"open",20000,2021-01-18,2021-04-18,"theft"
"266","house","623586ba",191670,315000,63000,5000,"under investigation",0,2004-06-23,NA,"fire"
"267","house","dc4fee31",186560,572000,114000,5000,"settled",181560,2007-01-18,2007-04-18,"other"
"268","house","1bcb78e7",206670,496000,99000,1000,"settled",205670,2009-07-21,2009-10-19,"fire"
"269","house","24b6d104",216550,590000,118000,500,"settled",216050,2014-11-01,2015-01-30,"water damage"
"270","house","9f188668",184570,542000,108000,1000,"settled",183570,2016-12-23,2017-03-23,"fire"
"271","house","7e031490",196620,832000,166000,2000,"settled",194620,2005-10-17,2006-01-15,"water damage"
"272","house","9649461a",204300,217000,43000,5000,"settled",199300,2012-04-15,2012-07-14,"fire"
"273","house","1aa4139f",199210,608000,122000,500,"open",20000,2019-01-19,2019-04-19,"theft"
"274","house","45322160",199250,506000,101000,2000,"settled",197250,2008-03-27,2008-06-25,"fire"
"275","house","8537c955",186880,504000,101000,1000,"settled",185880,2005-12-31,2006-03-31,"fire"
"276","house","005eee26",206560,593000,119000,500,"settled",206060,2019-02-04,2019-05-05,"water damage"
"277","house","4d68f9ab",191530,295000,59000,1000,"settled",190530,2006-05-04,2006-08-02,"nat cat"
"278","house","24c7dd61",210620,355000,71000,2000,"under investigation",0,2019-01-21,NA,"fire"
"279","house","9a578915",216390,766000,153000,500,"settled",215890,2013-01-14,2013-04-14,"water damage"
"280","house","e6b008ae",215300,486000,97000,2000,"settled",213300,2016-10-09,2017-01-07,"fire"
"281","house","ee809bba",191060,579000,116000,500,"under investigation",0,2023-08-13,NA,"fire"
"282","house","b27a6a43",182620,571000,114000,1000,"under investigation",0,2019-08-19,NA,"fire"
"283","house","e43c0c14",217070,443000,89000,5000,"settled",212070,2023-04-28,2023-07-27,"nat cat"
"284","house","ff808bee",220180,446000,89000,2000,"settled",218180,2015-09-22,2015-12-21,"fire"
"285","house","5248bc5c",209500,396000,79000,5000,"under investigation",0,2008-08-18,NA,"fire"
